Puzzle,BruteForce,DepthFirst,BitWise,NakedSingles,HiddenSingles,NSSearch,HSSearch
005000000000000005000000620002070000500901263100003504753040000041090006080000000,8943.7825,1365.1295,3126.1041,14.3538,9.3806,61,58
000604300000000007000087000000000000000001090200096705079000130000000579030500468,5262.9306,4035.1784,1794.9966,15.7376,9.7456,56,56
000540000040000006900000500000402300005000400400000000009005230056304097104090000,4720.2747,17.5684,1733.3391,21.134,23.7365,56,56
600030291000000500000000700000000010000000000003000900800057106916302000370816000,4262.9965,1.6805,1511.533,46.425,25.4806,56,60
000000200000001000000500000050020310000180075003005040000050130910340000300010029,4115.0752,981.9431,1441.9662,14.4086,8.4609,60,61
607000000083020000000000000740000010006090000002000800060040107870010030120307008,3225.0084,16167.0971,1185.5771,15.982,10.3984,67,72
000600810020180400800400000000040000004000100008050000750012906000000000900500281,2662.7201,1392.4935,948.0193,15.2644,9.4454,68,56
005207080000000005000000200500600000010000503000000000400050070052971004076002850,2182.5403,818.9074,733.4785,13.5948,8.9343,58,56
302067089000000000080000000000705090005000000000300700030051900001076000906400850,1991.5541,67118.1606,578.7755,16.2184,11.504,56,64
050000000300100000800000000000720690681400000200685000730804000000000000900250081,1879.4353,8858.0903,664.7539,14.5576,8.8183,56,56
006500020500000000320000950005690203000000005000000000060457030030010000002000497,1364.9359,61.0852,454.6453,16.4837,10.5353,59,59
000090000004230076001800000000000000400300060000907000007640102600000487000023005,1288.9938,6327.3405,449.0821,14.7075,11.765,56,72
005000000000000005201005000000000300006891002010000800300040028809010004120308000,1225.947,0.5286,434.8889,20.9506,10.6536,56,56
000000900000290000000065000080009000000010080012007059009000204058004000034920500,1201.0909,4.0012,388.6046,22.6371,25.6218,70,59
008040900000200070900006000000009200000700000010000000809060002030150097100027068,1004.1286,1762.4061,356.1838,15.8218,9.8092,66,56
980004000600030907000007654000040010000000090000000740070408102008100000000009060,992.9481,4680.0395,349.6478,14.7092,8.9183,59,56
000050300054001900300000000096000003000000840410003090005008032000100008038070000,922.789,5257.5096,328.5948,13.3453,9.1134,56,56
000604000604001709000000006000500198000000037008003004015000000000000805800315000,880.8202,0.2396,316.6109,32.7043,10.5513,56,56
000040000009000000001006000070604003000030780013780009008400000407002500050060400,879.4866,4984.4515,307.7913,13.8594,8.552,63,56
400000000027000000000030620062000000070000000000000074700010080230800901081562003,731.4554,6050.5148,252.3673,13.3695,9.4143,56,56
000600301600001080000000000006000200700100890200800000009008030408010509100509000,712.9913,3536.4664,264.0865,61.8609,9.9178,266,61
050600000000000005009000000000041000500390160098050070005910080200004050900500700,697.9915,3206.6477,232.3951,20.3893,10.4142,98,56
900604300004000080000000004000700010000120006003000040000060032060002079130000460,665.9056,5.146,231.5127,30.2037,8.7168,59,59
000040020000000000000005000007690012496230000300507000000000000258010009130078000,650.9555,10.2562,212.8735,33.4452,10.3815,76,70
000000001400000605000000480008506900000021000000007000059000024800210059004300700,634.9197,223.1088,220.7048,13.4286,9.2144,58,56
000000000050000000780000006012005007005807302000012460500000000600000020008020643,629.9257,1141.2891,222.6379,25.2594,10.2532,128,67
000000201000200070201600003000000000030000700000700000050046028000100534024300907,629.1455,6343.0217,222.231,19.372,12.1584,70,70
980004000054210900001980000006700000745000800000000000009000002008000509000079060,628.4326,9.0504,218.1897,24.4269,10.9726,60,56
000000000008009504090000700000000010409071000080056072800000027900000008300807005,618.2291,3.9042,216.819,18.1009,24.9106,56,56
000600009600000000810000600000208001004010350000356200500060080106000000908007000,568.5456,4474.9837,192.2722,13.4316,8.7603,56,56
000000000070000035000030000000004008280591076090000004500800002006947000040003060,559.9206,94.5763,198.0779,13.8573,10.7622,56,65
000008001000021504000060700000000000009000000000002000075206100986140000102070059,457.7695,24900.8522,161.0483,13.3965,9.0683,56,56
000400200403901070090000000000000010000012900000804700057008000009000050060030829,453.6903,105.983,158.0275,14.4019,8.7924,65,59
700040300000000870300000000000000200000020080013000049960400002037900500150000407,445.7656,268.7541,155.8387,15.65,9.9185,66,56
050000000670800000819000000000000001280000000701000200530040960100960500000000183,432.1465,49.8863,157.2969,15.2609,9.7857,56,56
050400200408000600200000000705800000000010000009054000003060000000147500064083007,423.3572,0.2752,149.2259,19.8245,21.3384,56,56
000000021094000806000076950009000010080000000003060008002040030640000090007600005,422.7356,1413.2753,136.762,25.5492,9.8259,105,56
000004021050003980020900000090045200740000800000090000500000002000000009032509060,421.5094,34.5481,145.6849,39.0941,17.2907,66,56
560008201000010000000000000000080310009300056000900002300045900005020100000890005,418.8641,2015.1835,146.6682,17.0773,11.1298,75,71
204000009000000030000000000340025000625000000007000502150900003000071905003000610,417.7599,10.6782,152.0232,29.2402,10.277,71,71
900600301000000900020000600068003000503000000012000000800020035200030068030060040,413.2619,4.9125,145.5626,16.8192,22.2859,56,56
004000000000000200000000050040625000000890001890000562050008903003001608000070005,407.7655,1597.7967,143.5501,14.5927,8.7128,73,56
000200080007080340000300000000000008000800503700500400000658002802090001070002050,407.5968,23398.2341,147.3843,18.5281,11.8384,73,69
050670000000000405009030627305000000200000056090000200507000000006800504900000100,401.8649,0.4112,143.5264,21.0314,16.5416,56,56
000372000000000000809500007043000000000093270000000000030800000104065700968000401,396.73,1778.0701,139.4808,11.7874,8.541,56,56
000030001008010000201560000000000000409000000000056002005600020070000030016827905,357.5609,2092.6607,123.1713,13.2953,9.4755,56,56
000040020040000000920000043600400310090000080410030000870000104200090000056300000,351.4952,160.0473,130.1792,15.6405,9.6925,60,56
000000020500021876000070900000000200004000080203000000900007100437000500000908460,349.3881,67.7521,126.5542,16.347,10.2981,61,61
806004301050000070301800000000005000000000000203008000089007130407010000130000060,347.4782,208.4839,109.2312,17.1515,11.0305,61,56
000030001000000060290004083000400000009010070000075640040300007976050008000007000,343.36,23.3595,124.154,27.808,22.8315,56,56
040000080060090034109000007400000091015000000608000005030000070000010402054000010,329.2433,0.4623,116.5932,21.0263,23.1566,56,56
006000000000001000000006054060000013080010000000007048002108637000703190007000005,325.837,217.0306,107.24,12.5851,9.5937,56,60
800600000050000087020087050000000200740000000010000045579008100068100000000570000,308.9989,1468.3273,113.9375,16.6016,11.4056,59,56
000080000000100000290000080700060300006800700002000050365908007000000000024057908,305.5135,688.3574,95.9509,28.9837,10.4892,106,56
080604000000000900000900004090045200040000006010000040000408002400120079102000400,291.7151,14.5582,101.3722,15.822,27.7992,64,66
897000000050000000021087000900700000700130000000800000509000030060200570032000408,284.2068,1505.7038,100.637,11.8918,9.2532,56,56
700000000800200000920005803080004000400102007302080690000400008000000006008020400,280.4915,3.3818,98.9616,38.1217,31.0397,108,71
706000000000103006020076004000000203090300000000080009000400000437001500000938007,277.0241,2.6786,96.9156,20.3406,33.9236,62,74
050003000400009605000000000708000319000000700000730850300900027000120004020000060,265.9749,0.8947,94.4416,16.9126,23.5442,56,56
600038000000209070001000480000000009006090050000000060003000108002081007100520006,262.7176,5.1849,93.8225,25.8835,10.2424,72,56
087000021000012080000900054000005000000000000200000005079460102008100070100079000,261.7519,3.8456,90.4581,33.9034,25.2363,56,56
006040300000001070000000000005604013090000000000005049068000000000102000152930067,256.8442,1958.4785,44.1453,19.1656,14.0295,62,73
080000300604000980001900600090000010000013090210000000500068002008000070130000400,253.3928,463.4271,92.7658,13.1064,8.9374,61,58
000049021000003876301000000000000000000030080000080600960050100407910000052000400,247.8052,998.0051,88.6161,13.8146,9.4403,60,60
605000000080090075091000000008006000006010047902800500050000108000020000100000064,244.4377,35.6257,84.2718,20.9732,10.3185,61,61
060000000000020060001060000657389402429600000000452070300000000000000020100000009,236.9182,6.15,84.9024,32.337,10.2396,80,61
