"Puzzle","BruteForce","DepthFirst","BitWise","NakedSingles","HiddenSingles","NSSearch","HSSearch"
"500000809300890000800500000000600000601000250000000008000407983030060000704203000",7.8888,2.591,1.3676,124.7077,34.9989,606,239
"000010700000000200000034100000000007005809301007043000150000000070300620960700008",2.5143,829.3443,0.8536,13.049,34.914,62,246
"320500700060987000000000056000400090000009300800000060002003070073100540050000000",8.9478,71.4802,3.2489,19.5001,77.8988,56,463
"400670000000008405009005000300000108004500070090300050037001000020060500900050000",14.3193,7.2834,4.9428,47.5284,80.4168,142,567
"006009300000020600103000459000350080000000000000010000001060005005980200080030706",12.4051,0.9657,4.3634,114.0933,35.5715,440,231
"000600020054000980000000004000005010000030000213090040070000002400010070130070460",9.3368,6.7112,3.2767,50.186,56.7764,190,407
"000030200030000075090005480000000000800590030310700006073009000000040007000007029",0.6334,1.3659,0.2306,70.187,30.5998,300,212
"780509001009200070000006900005000003004320080200000009068407100400000000000000400",6.5767,16.7077,2.33,331.3825,94.4636,1627,638
"604708000000200000091500700007000010020010670003605000800007000000000407000100029",0.9366,22.0516,0.3437,57.6925,39.2853,242,271
"040007100007001000000000000000000700700300628090000340000490806054006900000010450",0.2422,1743.3783,0.076,13.4721,75.4411,64,583
"340560109007000000000204007000608000000340600000000040030405900800903002000020000",0.3766,0.3141,0.1374,248.9234,89.2569,1092,603
"560700001008100500090000000650000009020003000003970000000090020006000038310000950",130.9986,617.928,48.1494,379.7915,109.5044,1717,685
"000000080056009000009000450010000097005000000000010300501000078040970000970500640",0.0513,3.2455,0.0251,114.6343,36.1465,455,228
"000000010000089005809000007002001000000090000100200070750010900001060750940070080",0.912,1.6967,0.327,28.1605,25.129,142,205
"003670010002100400000005000300704100080001070090060004000000042100007080040200000",0.1035,7.4526,0.0461,123.2027,78.4566,540,524
"000000009400000103009120400004300097000790004007010060500000908000070031900000000",0.0272,17.6149,0.0159,74.6037,48.6529,309,354
"050030000000009005200000080005060000800000050300004862003000100904010036000503007",11.1632,65.5402,3.7575,84.7225,62.291,392,434
"760503000500009070000800000687050000005060000412030060000000030056000100000200008",0.0692,10.2844,0.03,34.2419,58.5487,83,398
"024060780501000030080000000035000890000800000800000401100003900070100000050000603",24.1314,5.3312,8.6503,124.7638,55.5742,436,327
"000009000000120800320876000700000200000310080200005040900050002030000500002900400",18.4774,23.7595,6.9067,294.0012,43.5399,1265,280
"900050000604200080001000004800005200000300800013006005079460000060000070000079000",0.3519,1.321,0.1253,24.7341,93.6673,88,605
"000000780406080100009000050210305000000009000000004000531002008000000530908031000",0.0375,119.2456,0.0191,118.4179,61.4875,484,377
"005007000060809040080300000000001000010590000098000000000902876852006004000000030",2.7301,1.1961,0.986,203.0365,40.1723,1001,286
"000600000000190400019035600000001000004300002008200304000812000080004050000000280",4.2837,13.6736,1.4484,40.7627,55.4925,123,350
"030560700000000200080200000320010800006000000000320000002650008670009502000000603",0.171,30.5707,0.0668,171.8074,100.2296,896,657
"000080000403020605090070403700000310006001042900000006000008007000210000020050000",0.4667,1.3787,0.1665,101.0886,54.289,441,381
"000000300004203907000980000800700000000001000000806045500060130400002000100579000",5.7827,106.813,2.0881,119.3089,70.0794,497,456
"700003920540001070900000000080000400005010068002008090000000034009100007100600000",18.3826,3.8581,6.5173,46.6662,42.6284,162,292
