"Puzzle","BruteForce","DepthFirst","BitWise","NakedSingles","HiddenSingles","NSSearch","HSSearch"
"000000000000009030000200006005400890406007300800005460000050970073000040000700603",26.7574,446.8386,0.3614,14.6349,18.2747,58,125
"000010080006000000000000000000605807605800040007003502100060400000300920973050000",0.0931,169.474,0.0381,14.6261,17.4444,59,113
"005040900000002000021700800000000312400300007000080000600004130208030006100008000",0.167,0.8623,0.0493,24.6191,27.2594,76,81
"506000010300080046800006000000008001000090200007130408005010000000000602000063004",7.9327,2.1091,2.1757,17.8787,24.1049,56,91
"007654000000001900000907650896700000000000806000806000000008130460000000100000008",3.984,128.8521,1.4331,25.4865,18.7414,101,100
"700003001000021000021070503007005000000012068000060005076000000059000007000600200",108.6205,11.2438,39.6897,60.8554,13.8601,149,80
"540302000302000000009006000453008700000000004000000030000010080000960470000080165",0.1448,0.4956,0.0558,32.7558,15.0838,56,94
"005003000000001000020000843080490000000310500002500000000050100250130006004000209",47.9325,0.368,17.0408,41.52,15.8131,118,105
"000000089061007000009004050320406090410000000007020060102003000003000000008170000",0.0574,0.2778,0.0267,42.4452,19.0012,90,87
"007604000050000000000000004096700200005000090203890005509000000400203500030009008",14.1842,6.9131,5.1303,83.2313,16.8691,247,106
"070083000000091600001000480000006902530900000910040000000000020800020000004300708",0.4947,3.0609,0.1736,63.3821,21.6496,150,138
"100056009450700100000103000004000807365000010000004005030000070000000000000501602",0.0379,31.5474,0.0193,19.0201,22.6853,63,120
"006372000072900040800006300000000700000097000000000060035000080020004050004800072",9.7164,42.1606,3.2591,179.3597,25.3098,878,179
"050000000400009000000000080045060310026301700000004800073040108000000000100580007",0.4076,13.9299,0.1585,17.0511,23.5548,68,84
"000000800002009000000000327003680090001900000020405108260003070090008000700004000",8.3618,2.5887,2.8049,81.9531,23.5202,283,170
"405007009000010030019405000300070000000000260100200574000100000200090006900002000",0.1328,29.4633,0.0493,21.6471,19.1475,73,133
"600403000400921605000075000700000002000002940000050000000190800070000009029008000",0.0995,0.3085,0.0406,208.613,14.2129,851,85
"000006000000907100000100450200065800060009210800000000030600008600098030000030002",0.0755,0.5065,0.0172,48.3364,27.1957,109,161
"000540920000012000001070000000000010090000060000700000876050004009030680134000200",20.1308,51.1322,7.0779,15.4866,21.2263,56,135
"000700200708020064000000700000080310009600070000000002000396100000050400300007056",8.7992,10.2388,3.1676,21.6524,18.7831,92,118
"005080000000912000201000003000060000000700048000850700007208064800000050100007009",4.0961,64.1275,1.4379,83.5567,28.3126,321,175
"030010009010080200700004000001020090000007300800003002050000903000051000068072000",0.0331,2.2839,0.0177,52.1508,13.6093,93,85
"064738201030020004000560000000080000000000830000000900300000000906000027102870000",11.2048,18.4343,4.068,78.3908,14.8804,287,83
"100006000050980023009003000210000000005800204000010300000000970040000500078031000",0.0682,2.2509,0.0144,72.6067,27.8085,268,178
"900000000050000000300000600090705003000010096210096040000068032408001000032000000",5.6033,10.8277,1.9953,45.7875,15.7108,155,106
"500000000000981006010000300400000701600400030200030008005000084000704900060003070",35.4738,183.571,13.1353,41.9499,23.0156,174,134
"006000001009021870000006000000004010094203700010080600008000000037000500150030000",0.1537,24.3556,0.0566,28.2827,19.9051,114,118
"000000000540020000001070050080694013604000005010700649008450000030000000000060000",12.3249,29.0412,4.1087,21.314,16.3874,67,112
"000060080001780200000000050320406007000090005890020061100000908003000500050000000",0.3994,6.3852,0.1496,37.6142,16.2635,56,102
"053007009000001400019000000300500090000200008000070050000000903031080506080700002",96.0399,442.1215,33.1668,14.694,26.2559,56,168
"000003000043009700900760043000000000000000500300080000609051000230000050058300470",1685.4873,839.252,608.7783,22.8697,13.4534,91,81
"200000000050870000000003056104300000000790210800000065000000008002980500008001600",0.0288,43.5013,0.0162,35.5317,21.4335,148,146
"230000080060007200009000100020400007010809005807300400002000900600090500000000010",0.1807,3.694,0.0708,40.0458,22.1581,80,100
"000260000067001040089000000000016098004070003000000006001000070070130000050700601",0.2385,0.5404,0.0898,68.316,24.3676,220,157
"340000080207010040080300000500001008000590023090620000000050000000000004006000532",0.0513,5.9078,0.0237,41.8497,32.8918,58,175
"006300010070800000009040327450080090600007000920000000000150000094000600000004080",0.1868,2.7439,0.0755,24.9661,20.8392,83,109
"000500700001008200780000100000400000406000000000320061002000008608900010003087600",0.2031,16.997,0.0568,22.7101,25.7297,74,110
"004001000001090000000030156100050000050900300000103400010000070008000000975800640",0.0433,5.3207,0.0211,41.8917,20.9456,56,156
"650000000080209000001000000000060300506090742010004050000948000800000034000007060",0.4213,47.3451,0.1467,22.8572,13.7354,109,89
"234006000016708004080000100001000800600080000000040060150000470063001005000000000",429.2855,2.6552,151.4949,26.1384,27.3934,56,167
"453020800620000000819000600060000000000000000008306000000000983000004070080753100",0.814,27.5476,0.2667,25.0121,17.0878,68,91
"053002809000000400809400007065020000004000000000360054500000900006040080000003001",7.873,4.6578,2.6898,42.8176,14.8409,56,85
"200006080406097020089020006020048090000000000090071000000600000004900001060004000",0.1184,31.5151,0.0465,35.2043,17.6268,115,104
"300000189000810030109004007000070090000090020000000300000740900000902603900080000",0.0282,1914.1577,0.0165,19.6543,14.8965,92,92
"000840000803001065000060800007000000006000087002400050000058204008000100104000008",208.2159,916.7046,70.2714,23.9289,21.7573,116,142
"504008000030000000091000780007080010009003005000005040370090026080000000000050038",0.7445,0.3572,0.2466,30.2754,28.2012,59,97
"042007100500000230009000000003015000000600042090300000034850970000000000006420000",3.796,16.7812,1.0993,29.1443,23.3345,103,159
"600000201080000600001000000708300500500012008902000000300208000000146300100000800",0.7215,37.716,0.2386,34.5638,18.5856,138,135
"035007010020001005010000007060000001500209000000306204000160080040000506000000040",0.0413,0.9895,0.0197,50.0069,14.939,81,93
"000001709060780000009200000200006807410000300000020001140600070070000040000000602",0.0409,6.5883,0.0192,47.1289,17.5201,108,108
"203000080050090000080120000024000890060000200090200000000640000000709030978030000",0.0352,1590.6775,0.0185,50.2459,32.059,187,187
"100400000050000000080023006010300097300000000007200000001600008602000531908001000",0.055,83.3334,0.0254,56.2262,24.0606,239,151
"007050001054201080020000000090040200040002096200000000509460002000023000000009000",0.0296,8.8551,0.0165,36.4672,25.7237,56,120
"030007010027000400009035600002008091000009068000070000000000000001080076000050140",0.115,2.1686,0.0457,34.9795,19.0956,56,84
"053072019000000000009400007360040000000010056700000200030160080000003004000007003",3.3484,2.3918,1.1366,33.2668,24.2618,64,164
"907050001000003080300087000806000010740102800000800700009000032060000000100009000",0.2857,0.5,0.0863,57.6637,12.8391,90,85
"000008091000901564001000000000000410409000030000000070300290108000005007100800600",0.3233,30.5118,0.1138,300.9003,28.7982,1497,194
"304000709060789000000034000000000007000000300807020460100000000603040002000002043",0.0946,13.9892,0.0163,34.3757,25.5499,100,147
"070000020540000070000000000700004003600120080200780000008050100000000068050068097",27.9617,3.2232,9.3773,108.9842,24.3772,484,151
"700043020503002006900000003080000010000001708012708300006050100000034000000000000",2.3512,4.8887,0.8124,31.462,13.379,83,83
"100056700050000120700003000014300000360000200000210005031000008002008030000500000",0.0322,26.9472,0.0168,34.7388,18.3355,115,113
"005000001003020005291070000040500009500890700010704000007040000000210000000008060",0.4913,3.0783,0.1806,61.0755,19.4487,143,137
"040007009000180300109040007020010790014000000790020000400050000050001000006002000",0.3657,37.0626,0.1431,24.4993,14.852,63,87
"400072010000081000000546020500008000000407000020000008005000003134009000708000004",32.1411,18.8361,11.3766,54.0627,26.4958,187,180
"004700000000200060200500000650002010400071056000950002000003007902005008000007000",1.6608,3.3417,0.5969,30.0447,12.5564,104,81
"060000020000009700001700040087090010000002580000087000000000008004070100100026470",3.7378,53.7524,1.2646,36.4901,15.5991,126,100
"876000001000100000300876004060485000405000700010007000008000100600009000040000090",3.246,0.3427,1.1518,50.3095,20.347,123,123
"000370009000080406089000000020510600000090004000230100204700003005000000907003000",2.4711,20.3061,0.8843,90.3809,26.3922,433,164
"000000021090020006001070900009005203005010009013900008900040107030000080000000000",13.633,9.6501,4.5714,52.017,14.5272,206,86
"870094020000103006001800004000000200400030000000060508008600007000010400007050002",15.1887,93.6747,5.1372,29.5469,19.8623,133,131
"453600000070000000009030000360004001000007000700050200007940000020503000040020083",46.3971,21.4877,16.4645,17.4338,16.9854,56,110
"000000001050000900321000054006740010000230000003800700500008002400310000000500400",16.7486,72.1213,6.0299,119.7465,27.0324,588,197
"000004020600001080020980604090000210705000890000000700000008002008000009002070400",1.1039,16.9163,0.3761,33.2298,18.0865,118,122
"980004000004000007001907000006000200700000006010896045009000132000000500030070000",2.9032,1.438,1.0254,41.2618,35.7038,60,175
"000738200000091064200060083057000000000000600013000000075006100006002400000007000",0.3168,1.5403,0.1157,28.1112,17.2071,64,93
"046072000070001000901004000000840320000020000013000000095400000007060095008000400",2.2998,26.8627,0.8424,22.4052,12.814,73,80
"010056009050000023000000400024060800005000204097010000500000070600008030000000602",0.0378,6.2222,0.0175,84.2297,22.7549,307,140
"060003920800000000921065000500000412090000000002000050000100000200074090000920500",0.4864,106.1291,0.1574,21.3387,16.5671,88,102
"907050000000000987000000600006000000000003006000896740079408002408010000000500060",94.1199,141.5966,31.6498,23.6634,16.3411,129,118
"000038000000020060201500000067080000000613070000005000040006100006000008002840056",0.2121,1.872,0.0589,57.8841,13.9575,100,91
"000302000000090040800000007500020000000030254927050000000017980000005002704080000",73.0995,725.0164,25.3415,17.0927,12.1731,80,86
"800000001004100076001800900000045000600030700003000600000007000067010080030500460",8.0167,8.849,2.8205,37.0141,22.3072,70,101
"054030001700000504090000780507380002000610000080050000045000300000000000000805600",0.2966,0.7911,0.1102,19.2684,17.1236,59,98
"003000009400897000009003406000060090060070200090200305500000000600000500970030000",0.0263,3.6788,0.0159,28.2587,39.8768,61,197
"000054300050000006300070900000000000005031000210000005009400002067000080102509060",9.4342,83.5635,3.3746,17.8553,11.8169,86,81
"800904301000301070021806050708000003600000000000098000089000000400130000000000007",0.0486,43.6028,0.0232,14.5967,13.9588,56,85
"000600000620800005800005600000070000500008000108003004750000900000080751000701300",2.2213,0.4436,0.7772,43.2543,19.8966,149,127
"000007000000891000009034060020608001005300608008000000200080900006900000054000010",11.4797,166.4762,4.1334,15.2376,16.3594,56,101
"006000010000108000009006007003000600000039200090080004000800060000907403904050080",8.2634,20.2867,2.6295,27.7642,13.5327,100,86
"000000810002800000810006007000600700000000050000150608205410080030900470000000005",19.0337,52.6343,6.7833,13.8692,16.0644,58,108
"000000200730900560201000000050300000000010800800050006005090148000040007102000009",22.0409,49.2054,7.7062,33.9763,17.6928,116,106
"090600321004000000300980000900045000045213800000000005000060002000032500000000060",0.4484,0.8707,0.1807,58.6798,20.1433,158,122
"907050001000000900021080050800000200040000000200006000579400030060010079000009060",5.718,0.6413,2.0294,36.5964,19.4841,59,91
"705000001003000065020005840007000312006030007002000000070002000050306400030000000",8.9001,60.806,2.7318,42.406,24.506,188,160
"560030091008000500000000080000082010400003005100905640000006007000200000302007000",3.2283,7.6274,0.8921,36.1616,27.6543,56,142
