"Puzzle","BruteForce","DepthFirst","BitWise","NakedSingles","HiddenSingles","NSSearch","HSSearch"
"000450700000700003000000000010300800000897000007214300530600070000000530000501040",0.5621,69.674,0.8222,4472.5491,1241.4549,28802,10676
"000038000008902000001004000057080000400071000013000906075000000000003007106807000",3.5482,1.4569,1.3366,2400.7071,470.691,12284,3429
"030007810000000435800400620000048000500000000008006050000004080200080000086002100",109.4436,531.5553,37.9812,3085.9117,230.962,13243,1472
"210400009050080100000100000120000090300790210000004000000000908000000501908000640",0.0352,26.0485,0.0192,842.146,247.2496,4744,1870
"087004020604002007000000054090000003000230000010800005500008002008120500000070000",0.5879,0.4705,0.1958,739.9375,148.1893,3557,1006
"040200189207000005009000000000071608610000003708020000000002076000100004000004000",0.1313,10.398,0.0508,76.6644,158.3793,299,985
"000043900000000000900800503607000002005000000402708300000600234000430000130200000",69.7393,0.3311,24.0337,363.3165,127.7068,1799,909
"000000000083129600001000003008000310006090002000000006300940000860210000000050960",58.9884,104.5622,20.4867,702.0884,330.4114,3664,2395
"100006780050000100080003000000065000005070000000010360500640008000000500078030602",0.0425,121.0323,0.0217,632.5247,214.8663,3270,1543
"060800900840001065000060000500600400000000000010487600000008200008300106104000000",2.3593,29.1179,0.8113,498.3073,203.1507,2591,1447
"980004021000001000320087004096000200000210000000000005009060032000102000030000400",213.0032,986.1087,73.3516,4137.9782,744.891,18592,5011
"007000300050100987001900000000000013040000090010800000000060000468201000102500060",0.1547,7.6938,0.0593,193.5971,195.9802,818,1253
"870004301000300000320000004080060400003000800002000060000206100240030000005000206",1047.9906,2830.1519,381.0841,3149.3272,1062.8205,12772,6397
"087050320650000907001000000800000000040300006010000000000408132008200500002500000",148.5583,319.9738,51.3219,2343.8008,523.8126,10660,3419
"000400009056009003000120450004000800360900010000010000000002970040098030008000000",0.6145,42.5339,0.2238,516.0303,205.7408,2370,1398
"030006700000000123000000050003040600007090000600000500010004000000910072075002014",0.1022,236.7405,0.0421,316.8935,208.594,1576,1469
"030006000010000000000004106000605007005970000000000562100069008063000020008002600",0.204,477.4794,0.0793,379.0699,168.9773,2243,1290
"000040900043009000901800000087000309000000000402900705070010034200300000000090600",0.552,1.0885,0.1961,17.9242,514.2034,56,3270
"040302000302090540000040007453000090081009000920000000000010900100005000004200000",2.0204,330.6306,0.6999,384.4598,153.1658,1638,962
"000038000400000600000670000705000009026000750009000000073006008080027000102080040",448.9646,2.8883,157.5924,12.2367,144.5455,56,932
"204000000516700000000030100300005007020097000007000002100000900400901600060000410",0.5094,251.9248,0.1982,41.5133,165.6414,195,1186
"000604000000300007301987050006700010005000800200000005070008000000103509100070000",0.9486,1121.0187,0.3329,110.7246,283.9393,486,1935
"000080201000000675000005083740000000000800000002700006007000000869010030120008007",179.8295,835.9882,64.1452,15.3337,176.4755,56,1112
"103050000000897120780003000000300090060970010007004000530000000000000000970500040",0.075,0.4733,0.0163,1295.5637,303.7975,7131,2282
"004000709100098004000204006000400000400800000000010460501043008003080020000000600",0.0348,14259.9224,0.0186,428.7347,213.0316,1757,1318
"200050789000009000000020000120007600040000000608000000302060900060900302005012000",12.0357,5.0646,4.3992,679.8755,131.8149,3079,832
"007004001600201980020087000006700000000000000210006045500000032000002070030000008",21.9494,10.5959,7.3326,238.7578,174.791,996,1088
"600000090000021005000005480040000010530002000912050000000007000070036050100000360",4.3349,0.4136,1.6228,395.335,140.4486,1735,873
"070004301590103000300000004700000010005000000032000000200008009000000530050342100",1.6379,119.8277,0.5741,4727.7915,1322.9391,19403,8043
"300200080200981345000000000023406008010079000000500000400600900000004001000002000",12.616,61.9111,4.5302,442.8196,270.0479,1968,1792
"030000780006800230000004106041005007000700300097040502000000070000050000070001000",3.5175,1.258,1.2012,18.5038,141.0797,64,975
"700003000840000060021700040080000012000000587300500090070000130000030000000670200",6.0334,6.0638,1.9878,542.3936,198.0423,2687,1402
"020561009060080000000000000035010800010008000800305401100000008000009502000100003",0.0502,221.2449,0.0239,143.1782,289.656,600,1852
"000654001000201900300007600090040000000023090010890000009000130000010009100500000",0.2525,0.5779,0.0745,1115.9516,364.7565,5911,2753
"000506009500700030000000000300025007005000300007040062052400003073000028060000000",130.5923,518.2621,45.5243,351.0619,228.9098,2059,1667
"000400000403090000001005000048536000030100040012040030005004000809000004100050000",0.6658,0.3983,0.2376,1236.2827,159.038,4953,1009
"000072810070000000000030007360048000004000050000300008037000080026800500040020100",12.0718,15.6536,4.173,168.63,154.1398,782,1060
"030000700050000030009000006002060800065089000000012060500003908600900001908000000",1.1053,104.6195,0.3987,15.0794,1366.669,69,9482
"000050009000000000089000006000465000400908312090000405500000070003009001008501000",0.1371,0.4814,0.0536,1839.4674,187.2376,11483,1481
"000000700000087230700030050230006090000009300000000001100050900600198040008000600",0.8896,901.566,0.2805,797.3076,151.5291,3893,1111
"000000009000089400800000000000000008004090000198006000700913006030000050081502703",0.9027,38.6683,0.3007,15.0734,124.0377,71,1152
"000004021004000870021070900607000010490200000000000000700012405000080000000500092",0.7914,62.4932,0.2747,105.105,210.2072,470,1331
"060708290000009000001060000000400310009603000010070000300801026000000150006000030",154.5382,2.5911,56.4463,507.6173,230.9422,2434,1606
"000000301500030076000806050009000003080300700000960040000608000030050000008023090",1.1684,22.3968,0.3913,497.6362,130.0406,2619,951
"020006009000000000089103406000300800300800004000010005031600970600000000078000040",0.0613,149.1804,0.0284,1482.2984,684.454,6281,4312
"340200100000189000089040200000600000004008020000023006430000000000970600070030000",0.0788,0.4626,0.0341,566.0526,178.7132,2865,1288
"000001080061080004000000156000006000000708005807005001000003900603000510000170000",0.177,0.612,0.0691,695.0929,238.1991,2527,1361
"000072010070001400000400600305000701000100006000300000000009100128000900900003580",0.6116,18.4721,0.2172,923.9667,167.9592,4037,1089
"340200100000189000089040200000600000004008020000023006430000000000970600070030000",0.1212,1.3914,0.0338,570.9965,179.5601,2865,1288
"030050700050007030700034100010000090000079000800010400000600900600000000900021043",0.0836,28.7847,0.0176,1463.6261,544.1087,6512,3644
"000506000500000000000000050000600897025090000897043060050000000000007900903480020",0.0867,28.1606,0.0364,15.4282,116.6038,73,860
"120000000400900003709000450000000890060008010007000000000000908600879501070001000",0.0311,29.0279,0.0176,567.9372,188.1571,2334,1161
"004008090000000564000500783000000000000010005803005600000800020900000050140250030",347.675,1736.9182,120.2601,1948.5928,167.0112,10580,1256
